seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chrX	16888768	16888785	18	*	X0004	5931	16862775	16888534	25760	-	233	upstream	233	RBBP7
chrX	17755251	17755271	21	*	X0005	6322	17755592	17773105	17514	+	320	upstream	320	SCML1
chrX	24168311	24168537	227	*	X0008	100873922	24164342	24167771	3430	-	539	upstream	539	ZFX-AS1
chrX	40595147	40595236	90	*	X0011	9282	40508795	40595136	86342	-	10	upstream	10	MED14
chrX	41192633	41192733	101	*	X0012	1654	41192651	41223725	31075	+	0	overlapStart	0	DDX3X
chrX	43513834	43513837	4	*	X0013	4128	43514155	43606071	91917	+	317	upstream	317	MAOA
chrX	44732360	44732390	31	*	X0014	7403	44732423	44971845	239423	+	32	upstream	32	KDM6A
chrX	46771799	46771801	3	*	X0015	9767	46771736	46920641	148906	+	0	inside	62	JADE3
chrX	46771873	46771903	31	*	X0016	9767	46771736	46920641	148906	+	0	inside	136	JADE3
chrX	46771952	46771974	23	*	X0017	9767	46771736	46920641	148906	+	0	inside	215	JADE3
chrX	47509940	47509979	40	*	X0018	2002	47494919	47510003	15085	-	0	inside	23	ELK1
chrX	47510345	47510414	70	*	X0019	2002	47494919	47510003	15085	-	341	upstream	341	ELK1
chrX	47518086	47518220	135	*	X0020	100133957	47518232	47519776	1545	+	11	upstream	11	UXT-AS1
chrX	48380221	48380253	33	*	X0021	10682	48380164	48387104	6941	+	0	inside	56	EBP
chrX	48660442	48660704	263	*	X0023	10013	48660287	48683380	23094	+	0	inside	154	HDAC6
chrX	48900871	48900895	25	*	X0024	7030	48886242	48900990	14749	-	0	inside	94	TFE3
chrX	49125995	49126099	105	*	X0027	89801	49126306	49144555	18250	+	206	upstream	206	PPP1R3F
chrX	53449693	53449722	30	*	X0028	158787	53449805	53458063	8259	+	82	upstream	82	RIBC1
chrX	53449693	53449722	30	*	X0028	8243	53401070	53449618	48549	-	74	upstream	74	SMC1A
chrX	53450083	53450161	79	*	X0029	158787	53449805	53458063	8259	+	0	inside	277	RIBC1
chrX	53450083	53450161	79	*	X0029	8243	53401070	53449618	48549	-	464	upstream	464	SMC1A
chrX	54071253	54071372	120	*	X0031	23133	53963113	54071569	108457	-	0	inside	196	PHF8
chrX	55744139	55744173	35	*	X0033	10325	55744110	55785207	41098	+	0	inside	28	RRAGB
chrX	122993641	122993928	288	*	X0036	331	122993662	123047829	54168	+	0	overlapStart	0	XIAP
chrX	129244888	129244897	10	*	X0038	2000	129198895	129244688	45794	-	199	upstream	199	ELF4
chrX	134186186	134186440	255	*	X0039	26071	134184963	134186221	1259	-	0	overlapStart	0	RTL8A
chrX	135579017	135579303	287	*	X0044	27336	135579238	135594503	15266	+	0	overlapStart	0	HTATSF1
chrX	148620803	148620872	70	*	X0047	91966	148622519	148632086	9568	+	1646	upstream	1646	CXorf40A
chrX	148620974	148621393	420	*	X0048	91966	148622519	148632086	9568	+	1125	upstream	1125	CXorf40A
chrX	148622083	148622254	172	*	X0049	100131434	148609132	148622504	13373	-	0	inside	249	LINC00893
chrX	148622083	148622254	172	*	X0049	91966	148622519	148632086	9568	+	264	upstream	264	CXorf40A
chrX	149107041	149107172	132	*	X0050	100272228	149106766	149392815	286050	+	0	inside	274	LINC00894
chrX	149107041	149107172	132	*	X0050	541578	149097723	149106716	8994	-	324	upstream	324	CXorf40B
chrX	149107856	149107879	24	*	X0051	541578	149097723	149106716	8994	-	1139	upstream	1139	CXorf40B
chrX	149107891	149108616	726	*	X0052	541578	149097723	149106716	8994	-	1174	upstream	1174	CXorf40B
chrX	149108632	149108745	114	*	X0053	541578	149097723	149106716	8994	-	1915	upstream	1915	CXorf40B
chrX	152990133	152990327	195	*	X0054	10134	152965947	152990201	24255	-	0	overlapStart	0	BCAP31
